Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
U6,TO-263-3_L8.6-W10.2-P2.54-LS14.4-TL,2537.8mil,1584.65mil,2537.79mil,1584.65mil,,,T,180,AMS1084CM-5.0
LED1,LED0603-R-RD,3632.6mil,906.7mil,3632.6mil,906.7mil,3666.1mil,906.7mil,T,0,GREEN_SOLVE_LED
R55,R0603,3631.6mil,984.5mil,3631.6mil,984.5mil,3604.04mil,984.5mil,T,0,120
R54,R0402,3431.49mil,984.6mil,3431.48mil,984.6mil,3411.8mil,984.6mil,T,0,330
LED2,LED0805-RD,3436.43mil,906.7mil,3436.43mil,906.7mil,3393.12mil,906.7mil,T,0,RED
BUZZER1,BUZ-TH_BD9.6-P5.00-D0.7-FD,1181.5mil,1518.5mil,1181.5mil,1518.5mil,1181.5mil,1420.07mil,T,90,HNB09A05
R53,R0603,2028.2mil,1555.9mil,2028.2mil,1555.9mil,2000.64mil,1555.9mil,T,0,680
C22,C0603,2732.25mil,565.6mil,2732.25mil,565.6mil,2759.81mil,565.6mil,T,180,22pF
C23,C0603,2732.25mil,627.5mil,2732.25mil,627.5mil,2759.81mil,627.5mil,T,180,22pF
R52,R0603,2642.7mil,598.5mil,2642.7mil,598.5mil,2642.7mil,570.94mil,T,90,1M
ICSP,HDR-TH_6P-P2.54-V-R2-C3-S2.54,1500mil,964.2mil,1500mil,964.2mil,1400mil,914.2mil,T,0,Header-Male-2.54_2x3
SERIAL,HDR-TH_6P-P2.54-V-R2-C3-S2.54,1500.46mil,1226.7mil,1500.46mil,1226.7mil,1400.46mil,1176.7mil,T,0,Header-Male-2.54_2x3
G$1,YX5200-24SS,1725.7mil,1873.7mil,1727.7mil,1864.2mil,1584.7mil,1732.2mil,T,90,YX5200 ESCAPEKIT
USB_SPK,USB-A-TH_USB-M-45_C42670,1674.7mil,2350mil,1674.7mil,2350mil,1796mil,2279.1mil,T,180,A/F90 14.0 White plastic_C42670
USB_MP3,USB-A-TH_USB-M-45_C42670,2061.9mil,2350mil,2061.9mil,2350mil,2183.2mil,2279.1mil,T,180,A/F90 14.0 White plastic_C42670
DC1,DC-IN-TH_DC-005-5A-2.0,2403.51mil,2313.46mil,2403.5mil,2313.47mil,2496.09mil,2195.35mil,T,270,DC-005-5A-2.0
J1,AUDIO-TH_PJ313D,1301.94mil,2407.07mil,1301.94mil,2407.07mil,1177.92mil,2538.96mil,T,270,PJ313D
OUT1,CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,3019.35mil,2294.88mil,3019.35mil,2294.88mil,3119.35mil,2294.88mil,T,180,WJ2EDGRC-5.08-2P
OUT2,CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,3604.68mil,2294.88mil,3604.68mil,2294.88mil,3704.68mil,2294.88mil,T,180,WJ2EDGRC-5.08-2P
OUT3,CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,4190mil,2294.88mil,4190mil,2294.88mil,4290mil,2294.88mil,T,180,WJ2EDGRC-5.08-2P
SPK,CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,830mil,2294.88mil,830mil,2294.88mil,930mil,2294.88mil,T,180,WJ2EDGRC-5.08-2P
SW1,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,740mil,1115mil,740mil,1115mil,651.42mil,987.05mil,T,90,TS6620CJ
SW2,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,4280mil,1115mil,4280mil,1115mil,4191.42mil,987.05mil,T,90,TS6620CJ
R50,R0603,2015.21mil,1814.8mil,2015.2mil,1814.8mil,1983.71mil,1814.8mil,T,0,22K
R51,R0603,2015.7mil,1727mil,2015.7mil,1727mil,1984.21mil,1727mil,T,0,22K
R43,R0402,3267.1mil,608.8mil,3267.1mil,608.8mil,3286.78mil,608.8mil,T,180,10K
R42,R0402,2196.31mil,580.1mil,2196.3mil,580.1mil,2176.62mil,580.1mil,T,0,10K
R41,R0402,1738.81mil,766.1mil,1738.8mil,766.1mil,1719.12mil,766.1mil,T,0,10K
R49,R0402,4016.99mil,1364.9mil,4017mil,1364.9mil,4036.68mil,1364.9mil,T,180,10K
R47,R0402,1156.49mil,1293.9mil,1156.5mil,1293.9mil,1176.18mil,1293.9mil,T,180,10K
R40,R0402,1153.9mil,768.1mil,1153.9mil,768.1mil,1134.22mil,768.1mil,T,0,10K
R48,R0402,4166.9mil,890.19mil,4166.9mil,890.2mil,4166.9mil,909.88mil,T,270,10K
R46,R0402,1254mil,912mil,1254mil,912mil,1234.32mil,912mil,T,0,10K
R45,R0402,4134.71mil,631.3mil,4134.7mil,631.3mil,4115.02mil,631.3mil,T,0,10K
R44,R0402,3742.3mil,617.8mil,3742.3mil,617.8mil,3722.62mil,617.8mil,T,0,10K
OP4,SOP-4_L3.9-W4.4-P2.54-LS7.0-BR,3030mil,629.98mil,3030mil,629.99mil,2902.05mil,679.98mil,T,0,IS121
OP10,SOP-4_L3.9-W4.4-P2.54-LS7.0-BR,3980mil,1158.48mil,3980mil,1158.49mil,3852.05mil,1208.48mil,T,0,IS121
OP7,SOP-4_L3.9-W4.4-P2.54-LS7.0-BR,1040mil,894.28mil,1040mil,894.29mil,912.05mil,944.28mil,T,0,IS121
